line_id,hazard_class,overlap_km
2011,Moderate,14.749794621705362
2010,Moderate,14.717187295678086
531,NonWildland,14.711729791707471
318,NonWildland,14.695390243640201
1966,Moderate,14.685347888824058
517,NonWildland,14.659063636265046
1973,Moderate,14.644551307522006
655,NonWildland,14.62682369594993
935,High,14.610000601064591
2049,Very High,14.596541191576149
26,Very High,14.585505047090948
1395,Very High,14.569604658134729
593,Moderate,14.556273661055393
1479,High,14.552669601237708
1790,Moderate,14.546696195911753
1262,High,14.509341203953019
2009,High,14.488269043457862
657,NonWildland,14.473760278036902
1004,NonWildland,14.47038507643484
1219,NonWildland,14.46559945068648
265,NonWildland,14.457414833707555
555,High,14.427234599861812
258,NonWildland,14.417394540144555
2092,Moderate,14.38664511126535
1268,Very High,14.370912733489757
702,High,14.356718844844004
1396,NonWildland,14.345977424277859
2049,Moderate,14.31057771388498
1227,NonWildland,14.28675029485824
458,High,14.276026666492823
1042,High,14.245857939797094
1957,High,14.219548512430029
1607,NonWildland,14.178855594864386
2048,Moderate,14.16859463811698
32,Very High,14.16680328105343
736,NonWildland,14.126111037523367
1156,NonWildland,14.114742071373042
1137,NonWildland,14.10355877712523
1246,Very High,14.086381990941177
562,High,14.021226268839698
2000,Moderate,14.019861224662511
1256,NonWildland,14.001605010130827
1974,Moderate,13.997459327590347
753,NonWildland,13.995672494827959
561,NonWildland,13.983886876992617
462,NonWildland,13.970398026776092
315,High,13.903085619781438
1447,NonWildland,13.876142807562754
1916,Very High,13.874723720694885
681,High,13.87237928261289
2163,Very High,13.857964459694788
2164,Very High,13.851647452079142
27,Very High,13.830197534119609
1710,Very High,13.81737054633738
1462,NonWildland,13.804256080758725
1934,High,13.800464285640555
1218,Very High,13.798169375962575
1378,Very High,13.791853345034603
576,NonWildland,13.789805302913743
1507,NonWildland,13.779375505277335
2009,NonWildland,13.76998957221043
1190,High,13.752153452062576
1731,NonWildland,13.730357909120789
2035,Moderate,13.72613345502498
1487,NonWildland,13.715518381284477
1473,NonWildland,13.70108654608615
1639,NonWildland,13.699785384252133
1559,NonWildland,13.694060653212043
473,Very High,13.652550294103664
224,NonWildland,13.625952268377365
1578,NonWildland,13.625938458446075
2091,Moderate,13.59247011416832
2151,NonWildland,13.58921590485738
1778,NonWildland,13.586975747833867
2039,Very High,13.583206897129266
674,High,13.5640098879355
2161,Very High,13.555122376011827
1278,NonWildland,13.543689263325607
1218,High,13.525032707214821
575,NonWildland,13.517523704192971
1987,Moderate,13.498280068448086
2099,Moderate,13.49433535099306
1918,Very High,13.464481547095495
1210,NonWildland,13.459846051349933
1009,Very High,13.439301524216605
1479,High,13.414180662566064
674,NonWildland,13.402457113182468
243,NonWildland,13.400177370454047
1956,High,13.387576612715657
1931,Very High,13.381349420695583
547,NonWildland,13.358638005275445
738,High,13.35105405154349
32,Moderate,13.334365741310405
1580,NonWildland,13.31730853409748
323,NonWildland,13.312597410999302
1761,NonWildland,13.286990086712319
1920,Very High,13.286001030139618
1378,High,13.285282725058547
1960,Moderate,13.277022607811366
1915,Very High,13.260331685037832
1614,High,13.25906938242432
1740,High,13.220905667489024
539,NonWildland,13.20077173350464
2051,Moderate,13.197038517969945
1293,High,13.195646231476642
2162,Very High,13.194060504268261
2048,Very High,13.182056051552427
1921,Very High,13.17276568345757
591,NonWildland,13.154351201595073
551,NonWildland,13.146115912307852
1392,Very High,13.124716963328392
1524,NonWildland,13.088028156139659
1638,High,13.073410809961999
865,NonWildland,13.062863528733667
1933,Very High,13.050936060126654
165,Very High,13.026535752183584
738,High,13.018939164469563
1963,Very High,12.999873806271736
211,Very High,12.980408956156165
237,High,12.971534957826028
1893,High,12.971534957826028
812,Very High,12.97127834543364
958,Very High,12.956284116242768
1039,High,12.952381236278642
293,NonWildland,12.948555677998796
1425,Very High,12.90446914506925
1674,High,12.874736919693648
1287,High,12.86198602578517
1958,Moderate,12.858118992524581
288,Very High,12.830162446118312
1443,NonWildland,12.828728278562417
442,Moderate,12.819888176441827
1406,NonWildland,12.764387897254094
1287,NonWildland,12.759157214762498
562,High,12.750707982933168
